Operator,Recipe Name,Product,Process,Layer,Side,Lot,MeasTime,Obj,Unit,Meas Type,X Pos,Y Pos,Z Pos,Status,T1_Thk(um),T2_Thk(um),T3_Thk(um),T4_Thk(um),T5_Thk(um),T1_TW(um),T2_TW(um),T3_TW(um),T4_TW(um),T5_TW(um),T1_MW(um),T2_MW(um),T3_MW(um),T4_MW(um),T5_MW(um),T1_BW(um),T2_BW(um),T3_BW(um),T4_BW(um),T5_BW(um),S1_TW(um),S2_TW(um),S3_TW(um),S4_TW(um),S5_TW(um),S1_MW(um),S2_MW(um),S3_MW(um),S4_MW(um),S5_MW(um),S1_BW(um),S2_BW(um),S3_BW(um),S4_BW(um),S5_BW(um),T1_Ra(um),T2_Ra(um),T3_Ra(um),T4_Ra(um),T5_Ra(um),T1_Rq(um),T2_Rq(um),T3_Rq(um),T4_Rq(um),T5_Rq(um),T1_Rt(um),T2_Rt(um),T3_Rt(um),T4_Rt(um),T5_Rt(um),T1_Rp(um),T2_Rp(um),T3_Rp(um),T4_Rp(um),T5_Rp(um),T1_Rv(um),T2_Rv(um),T3_Rv(um),T4_Rv(um),T5_Rv(um),T1_Rz(um),T2_Rz(um),T3_Rz(um),T4_Rz(um),T5_Rz(um),S1_Ra(um),S2_Ra(um),S3_Ra(um),S4_Ra(um),S5_Ra(um),S1_Rq(um),S2_Rq(um),S3_Rq(um),S4_Rq(um),S5_Rq(um),S1_Rt(um),S2_Rt(um),S3_Rt(um),S4_Rt(um),S5_Rt(um),S1_Rp(um),S2_Rp(um),S3_Rp(um),S4_Rp(um),S5_Rp(um),S1_Rv(um),S2_Rv(um),S3_Rv(um),S4_Rv(um),S5_Rv(um),S1_Rz(um),S2_Rz(um),S3_Rz(um),S4_Rz(um),S5_Rz(um),T1_MW_Core(um),T2_MW_Core(um),T3_MW_Core(um),T4_MW_Core(um),T5_MW_Core(um),
Oberreiner,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_11S-6_BA,2016-06-20 21:19:12,1,1,TRACE1,473.514,256.438,-22.152,-,16.5058,16.3524,16.8080,16.9412,,41.2902,39.9397,40.1586,40.3344,,42.4194,41.0914,41.2257,41.3916,,43.5929,42.2357,42.3733,42.5780,,,58.2587,60.8847,59.7819,,,57.1252,59.7619,58.7045,,,55.9704,58.6101,57.5138,,0.4297,0.4127,0.4393,0.3785,,0.5282,0.5083,0.5508,0.4803,,3.5822,3.5938,4.0312,3.4298,,1.7136,1.8153,1.8084,1.7470,,1.8686,1.7784,2.2228,1.6827,,3.2402,3.1252,3.4021,3.1640,,0.6371,0.6885,0.7256,0.7185,0.8003,0.8287,0.8742,0.9047,0.9208,1.0368,7.9335,8.2969,6.7497,6.9844,8.0614,3.8983,4.0791,3.0759,3.0464,3.9564,4.0353,4.2178,3.6738,3.9381,4.1049,6.2196,6.3315,6.0485,6.0956,6.8429,42.4415,41.0877,41.2660,41.4562,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_11S-6_BA,2016-06-20 21:19:34,1,1,TRACE2,473.339,252.875,-22.154,-,16.4843,17.0010,16.8779,16.5760,,40.7671,40.9163,41.7782,40.7993,,41.8854,42.0012,42.8349,41.8595,,43.0732,43.1969,44.0114,42.9798,,,60.1956,58.5991,58.1658,,,59.1066,57.5200,57.0999,,,57.9508,56.2681,55.9748,,0.5399,0.4799,0.4120,0.4093,,0.6733,0.5956,0.5137,0.5065,,4.5933,4.0853,3.6221,3.6875,,2.3938,2.1231,1.7427,1.8474,,2.1996,1.9622,1.8794,1.8401,,4.0120,3.6983,3.2066,3.0460,,0.6575,0.7497,0.7548,0.7566,0.8135,0.8439,0.9350,0.9509,0.9457,1.0270,6.0596,7.5543,6.1960,6.4093,7.6563,3.0143,3.7965,2.9470,3.1006,3.5759,3.0453,3.7578,3.2490,3.3087,4.0803,5.4652,6.2278,5.8040,5.9062,6.6214,41.9201,42.0566,42.8948,41.8895,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_11S-6_BA,2016-06-20 21:19:55,1,1,TRACE3,467.918,256.473,-22.154,-,16.9238,16.9764,16.4188,16.4342,,40.4093,38.7481,38.8931,39.6134,,41.4837,39.8066,40.0162,40.7301,,42.7410,40.9795,41.1710,41.8776,,,61.2645,60.4815,61.4314,,,60.1805,59.3922,60.2803,,,58.8849,58.2649,59.1171,,0.4723,0.4443,0.5154,0.4988,,0.5850,0.5484,0.6319,0.6198,,3.7539,3.8915,4.1055,4.1225,,1.8819,1.9377,1.7644,2.0744,,1.8720,1.9538,2.3411,2.0481,,3.4281,3.3482,3.6024,3.6064,,0.6926,0.6925,0.6773,0.7304,0.7317,0.8840,0.8848,0.8503,0.9122,0.9184,6.9988,6.1229,5.8632,6.1323,5.8948,3.5963,2.7290,2.7320,2.7821,2.9006,3.4025,3.3939,3.1312,3.3502,2.9942,6.1454,5.7472,5.3272,5.7185,5.4492,41.5751,39.8638,40.0320,40.7455,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_11S-6_BA,2016-06-20 21:20:16,1,1,TRACE4,464.365,256.733,-22.155,-,16.9058,16.1748,16.4810,16.6344,,39.1609,38.6295,38.9566,38.9519,,40.2405,39.7562,40.1066,40.0431,,41.6097,40.9130,41.3124,41.2801,,,61.4684,61.1536,59.9755,,,60.3883,60.0257,58.8228,,,59.2153,58.8546,57.5628,,0.4402,0.4628,0.4282,0.4235,,0.5447,0.5701,0.5304,0.5217,,3.5270,3.4003,3.2059,3.5241,,1.7334,1.6718,1.5924,1.6795,,1.7937,1.7284,1.6134,1.8445,,3.2294,3.2851,3.0882,3.1356,,0.7605,0.5957,0.5984,0.6723,0.6390,1.0018,0.7621,0.7623,0.8431,0.7956,7.7289,5.3008,4.9132,5.3201,5.3368,3.9647,2.5616,2.4155,2.6302,2.7040,3.7642,2.7392,2.4977,2.6899,2.6327,7.1858,4.9012,4.7850,5.1467,4.9340,40.3853,39.7713,40.1345,40.1160,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_11S-6_BA,2016-06-20 21:20:38,1,1,TRACE5,473.248,243.749,-22.152,-,16.0537,16.9167,16.9692,16.1366,,62.9468,64.6698,64.6170,64.0879,,64.8503,66.3991,66.3592,65.8540,,67.0842,69.0545,69.2408,68.6427,,,85.6894,86.4299,84.3838,,,83.9419,84.6632,82.5710,,,81.6587,81.8513,79.5933,,0.5181,0.5254,0.5027,0.5702,,0.6428,0.6452,0.6215,0.6963,,4.0852,4.0564,3.7575,4.5307,,1.9272,1.9729,1.8350,2.0552,,2.1580,2.0834,1.9225,2.4755,,3.7172,3.6399,3.5742,4.0882,,0.9623,0.7380,0.7218,1.1254,1.8188,1.2465,0.9272,0.9528,1.4891,2.3488,9.0351,6.8062,7.1897,9.5291,16.7034,4.4933,3.5600,3.6057,5.8513,8.9573,4.5419,3.2462,3.5840,3.6778,7.7462,8.0717,6.2147,6.8129,9.1620,14.5145,65.0155,66.8622,66.9289,66.3653,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_11S-6_BA,2016-06-20 21:20:59,1,1,TRACE6,472.007,240.092,-22.152,-,16.7696,16.1411,15.8109,16.8234,,65.3014,64.5459,64.7435,65.6553,,66.9036,66.2843,66.3914,67.3595,,68.9440,68.4614,68.5850,70.2439,,,85.5277,85.0571,85.2362,,,83.8799,83.3425,83.5658,,,81.7996,81.2518,81.1480,,0.5470,0.5046,0.5210,0.4702,,0.6598,0.6289,0.6423,0.5903,,4.1829,4.2150,4.4226,3.9228,,1.9787,2.0315,2.0920,1.7838,,2.2042,2.1834,2.3306,2.1391,,3.7162,3.8010,3.7347,3.5494,,0.8599,0.6380,0.7185,0.9040,1.5624,1.1149,0.8094,0.9124,1.2224,2.0375,7.8554,6.6076,6.7299,9.8087,13.2252,4.2311,3.2388,3.9584,5.3473,8.0075,3.6243,3.3688,2.7715,4.4614,5.2177,7.2809,5.8490,6.2479,9.0550,12.0558,67.1227,66.5037,66.6642,67.9496,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_11S-6_BA,2016-06-20 21:21:21,1,1,TRACE7,467.961,243.474,-22.152,-,16.5590,16.8592,15.7785,16.5688,,64.4872,63.5281,63.7566,64.3503,,66.1588,65.1907,65.5428,66.3477,,68.3968,67.5975,67.7358,69.3807,,,87.1011,85.7073,87.1016,,,85.4717,83.9732,85.1510,,,83.1213,81.6494,82.6040,,0.5152,0.4447,0.5390,0.5322,,0.6262,0.5487,0.6608,0.6580,,3.8684,4.3435,4.2418,4.3589,,1.8374,2.3951,2.0487,2.0715,,2.0310,1.9483,2.1930,2.2874,,3.6113,3.4017,3.7367,3.8058,,0.9876,0.6840,0.7360,1.0613,1.5593,1.2736,0.8739,0.9857,1.3536,2.0717,8.8511,8.3460,9.0329,10.7967,14.9182,5.0874,4.2327,5.0556,7.1259,8.6163,3.7637,4.1133,3.9772,3.6708,6.3019,7.8305,6.4320,7.7984,9.1296,13.7363,66.4420,65.5628,65.7462,66.8655,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_11S-6_BA,2016-06-20 21:21:42,1,1,TRACE8,464.298,243.706,-22.151,-,16.8718,15.9752,16.0711,16.8723,,62.8979,60.1356,61.9175,62.2984,,64.5812,61.8475,63.6642,64.2024,,66.9154,63.7622,65.8538,67.2231,,,87.1676,89.8374,86.6985,,,85.4462,88.0631,84.9470,,,83.2144,86.1299,82.3301,,0.4486,0.4951,0.5495,0.4806,,0.5516,0.6007,0.6670,0.5890,,3.9585,3.5799,3.9496,3.8706,,1.7826,1.8530,2.0130,1.7153,,2.1759,1.7269,1.9366,2.1553,,3.2112,3.3536,3.5939,3.4195,,0.8029,0.6586,0.7114,0.8935,1.3443,1.0568,0.8267,0.9097,1.2254,1.8151,8.0718,6.5167,7.8343,12.4836,14.3132,4.2049,3.3112,4.0432,5.8160,8.8842,3.8669,3.2055,3.7911,6.6676,5.4291,7.1976,5.6660,7.0233,10.1972,12.2959,64.9066,61.9489,63.8856,64.7607,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_11S-6_BA,2016-06-20 21:22:04,1,1,TRACE9,473.377,256.434,-22.154,-,16.8716,16.7228,17.2029,17.3547,,41.2658,40.1562,40.4210,40.4309,,42.3585,41.2822,41.4760,41.4961,,43.4954,42.4047,42.7743,42.7165,,,58.1862,60.6557,59.5909,,,57.0776,59.5588,58.5140,,,55.9571,58.3698,57.2189,,0.5304,0.4551,0.4784,0.4947,,0.6567,0.5647,0.5942,0.6064,,4.0581,3.6183,3.8081,3.8629,,2.0634,1.9030,2.0320,1.9919,,1.9947,1.7153,1.7761,1.8710,,3.8247,3.3778,3.5429,3.4452,,0.7797,0.7886,0.6693,0.7325,0.8774,0.9650,0.9767,0.8454,0.9258,1.0856,6.2488,6.3934,6.1087,6.0599,7.2125,3.1406,3.3284,3.0676,2.7620,3.5611,3.1081,3.0650,3.0411,3.2979,3.6514,5.6627,5.8584,5.5605,5.7352,6.5704,42.3806,41.2805,41.5977,41.5737,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_11S-6_BA,2016-06-20 21:22:25,1,1,TRACE10,471.324,252.876,-22.155,-,16.5081,16.7498,17.0362,16.4138,,41.4755,41.2267,42.3704,41.5500,,42.5468,42.2321,43.3655,42.6048,,43.6990,43.4926,44.5164,43.6844,,,59.7732,58.0652,57.5438,,,58.7125,57.0721,56.5213,,,57.5443,55.7885,55.3960,,0.5314,0.4711,0.5289,0.4678,,0.6677,0.5877,0.6548,0.5781,,4.7970,4.1518,4.5101,4.0447,,2.5683,2.1210,2.4102,1.9579,,2.2287,2.0308,2.0999,2.0868,,4.1602,3.6417,3.8339,3.5325,,0.7740,0.6775,0.6906,0.6662,0.7787,0.9632,0.8582,0.8659,0.8366,0.9746,8.3216,6.6958,6.3794,6.2961,6.6328,4.2874,3.1919,3.1601,3.0725,3.3183,4.0342,3.5039,3.2194,3.2236,3.3145,7.2153,5.7567,5.5557,5.4925,6.3374,42.5873,42.3597,43.4434,42.6172,,
