Operator,Recipe Name,Product,Process,Layer,Side,Lot,MeasTime,Obj,Unit,Meas Type,X Pos,Y Pos,Z Pos,Status,T1_Thk(um),T2_Thk(um),T3_Thk(um),T4_Thk(um),T5_Thk(um),T1_TW(um),T2_TW(um),T3_TW(um),T4_TW(um),T5_TW(um),T1_MW(um),T2_MW(um),T3_MW(um),T4_MW(um),T5_MW(um),T1_BW(um),T2_BW(um),T3_BW(um),T4_BW(um),T5_BW(um),S1_TW(um),S2_TW(um),S3_TW(um),S4_TW(um),S5_TW(um),S1_MW(um),S2_MW(um),S3_MW(um),S4_MW(um),S5_MW(um),S1_BW(um),S2_BW(um),S3_BW(um),S4_BW(um),S5_BW(um),T1_Ra(um),T2_Ra(um),T3_Ra(um),T4_Ra(um),T5_Ra(um),T1_Rq(um),T2_Rq(um),T3_Rq(um),T4_Rq(um),T5_Rq(um),T1_Rt(um),T2_Rt(um),T3_Rt(um),T4_Rt(um),T5_Rt(um),T1_Rp(um),T2_Rp(um),T3_Rp(um),T4_Rp(um),T5_Rp(um),T1_Rv(um),T2_Rv(um),T3_Rv(um),T4_Rv(um),T5_Rv(um),T1_Rz(um),T2_Rz(um),T3_Rz(um),T4_Rz(um),T5_Rz(um),S1_Ra(um),S2_Ra(um),S3_Ra(um),S4_Ra(um),S5_Ra(um),S1_Rq(um),S2_Rq(um),S3_Rq(um),S4_Rq(um),S5_Rq(um),S1_Rt(um),S2_Rt(um),S3_Rt(um),S4_Rt(um),S5_Rt(um),S1_Rp(um),S2_Rp(um),S3_Rp(um),S4_Rp(um),S5_Rp(um),S1_Rv(um),S2_Rv(um),S3_Rv(um),S4_Rv(um),S5_Rv(um),S1_Rz(um),S2_Rz(um),S3_Rz(um),S4_Rz(um),S5_Rz(um),T1_MW_Core(um),T2_MW_Core(um),T3_MW_Core(um),T4_MW_Core(um),T5_MW_Core(um),
Oberreiner,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_11S-1_FR,2016-06-20 17:34:17,1,1,TRACE1,434.251,275.862,-22.150,-,16.3789,16.1499,16.3013,16.5913,,30.0794,29.9042,30.6745,29.6467,,31.1632,30.9568,31.7133,30.6970,,32.2786,32.0526,32.7660,31.7717,,,57.4306,56.9812,56.1735,,,56.3371,55.9403,55.1393,,,55.2175,54.8566,54.1150,,0.4366,0.4174,0.4921,0.3722,,0.5400,0.5234,0.6075,0.4602,,3.2532,3.3086,3.6866,2.9571,,1.6214,1.6746,1.7687,1.4402,,1.6317,1.6341,1.9179,1.5169,,3.0882,3.1297,3.2700,2.6452,,0.5974,0.7106,0.6826,0.6415,0.7543,0.7572,0.8781,0.8547,0.8000,0.9244,4.9369,5.7322,6.4076,5.0061,6.0898,2.4606,2.7320,3.0395,2.4720,3.0116,2.4762,3.0001,3.3681,2.5341,3.0782,4.6653,5.2247,5.5990,4.8778,5.5258,31.1790,30.9784,31.7202,30.7092,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_11S-1_FR,2016-06-20 17:34:39,1,1,TRACE2,434.148,272.716,-22.150,-,16.0605,16.6071,16.6151,16.3730,,35.0665,34.7081,34.9089,33.8926,,36.1879,35.7451,35.9565,34.9796,,37.2658,36.8574,37.0858,36.0311,,,64.7530,66.2285,65.9732,,,63.6561,65.1851,64.8814,,,62.5118,64.0894,63.7894,,0.4078,0.3536,0.3700,0.3768,,0.5056,0.4376,0.4562,0.4645,,3.5668,3.1689,3.2390,3.4668,,1.5867,1.4669,1.4808,1.5144,,1.9801,1.7020,1.7582,1.9525,,3.0031,2.6944,2.7845,2.8080,,0.5745,0.6144,0.6754,0.6173,0.7110,0.7377,0.7767,0.8581,0.7862,0.8964,5.4221,5.5584,6.1534,5.4351,7.9597,2.4450,2.5779,2.9327,2.6297,3.7024,2.9771,2.9805,3.2207,2.8054,4.2573,4.8904,5.0935,5.6610,5.1257,5.9798,36.1661,35.7827,35.9974,34.9619,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_11S-1_FR,2016-06-20 17:35:00,1,1,TRACE3,440.201,273.116,-22.150,-,16.2095,16.5525,16.5998,16.1835,,34.4419,34.1304,34.0171,33.9582,,35.5281,35.2255,35.0969,35.0611,,36.6544,36.4191,36.2617,36.1466,,,66.1862,65.1329,66.7445,,,65.1079,64.0291,65.6266,,,63.9696,62.8307,64.4753,,0.4317,0.3758,0.4177,0.4313,,0.5318,0.4666,0.5138,0.5324,,3.6310,3.1042,3.3559,3.4336,,1.7366,1.5738,1.6260,1.6987,,1.8944,1.5304,1.7298,1.7349,,3.1950,2.8209,3.0568,3.1399,,0.6021,0.6747,0.6776,0.6855,0.6785,0.7793,0.8533,0.8481,0.8572,0.8497,5.2429,5.4953,5.3209,5.5269,5.6208,2.6398,2.6694,2.6358,2.7454,2.7434,2.6031,2.8259,2.6851,2.7816,2.8774,4.9565,5.3175,5.1573,5.2185,5.3795,35.5482,35.2747,35.1394,35.0524,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_11S-1_FR,2016-06-20 17:35:22,1,1,TRACE4,443.859,273.321,-22.150,-,16.1611,16.6422,16.8361,16.4450,15.9801,34.6347,33.8421,34.1105,33.9375,,35.8202,34.9367,35.2183,35.0900,,37.0541,36.1697,36.5590,36.3179,,,66.0536,66.6125,65.1511,66.9334,,64.9051,65.5164,64.0017,65.7909,,63.6469,64.2635,62.6716,64.6188,0.3788,0.3816,0.3888,0.3926,0.4817,0.4727,0.4785,0.4834,0.4919,0.6547,3.0323,3.0378,3.1420,3.3398,5.2333,1.5083,1.4846,1.5013,1.6634,1.9102,1.5240,1.5532,1.6407,1.6765,3.3231,2.8620,2.8458,2.9462,2.9969,4.6651,0.6352,0.5854,0.6543,0.6784,0.6603,0.7830,0.7378,0.8253,0.8637,0.8290,4.8474,4.9942,5.8466,5.5149,5.1636,2.3981,2.3637,2.7547,2.7174,2.5687,2.4493,2.6305,3.0920,2.7976,2.5949,4.6800,4.7403,5.4377,5.2611,5.0676,35.8444,35.0059,35.3348,35.1277,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_11S-1_FR,2016-06-20 17:35:43,1,1,TRACE5,434.157,263.026,-22.136,-,16.0115,16.6854,16.5653,16.1882,,43.7195,46.5761,45.7891,44.9247,,45.1488,47.9833,47.1679,46.3281,,46.7763,49.8107,48.9006,48.0419,,,81.1826,78.2200,80.4617,,,79.7679,76.8504,79.0864,,,78.0053,75.1516,77.3600,,0.4985,0.4950,0.5160,0.5270,,0.6211,0.6122,0.6357,0.6515,,4.5205,4.4386,4.5529,4.3186,,2.3254,2.1996,2.1056,2.0253,,2.1951,2.2390,2.4473,2.2933,,3.9037,3.9388,4.0620,3.8543,,0.8520,0.7028,0.6951,0.6789,0.7254,1.1566,0.8984,0.8754,0.8453,0.9004,9.4398,6.5557,6.5472,6.2018,6.3969,5.1872,3.2282,2.9802,3.0363,2.7011,4.2527,3.3276,3.5670,3.1655,3.6958,7.8015,6.0054,5.9037,5.5240,5.5094,45.2479,48.1934,47.3448,46.4833,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_11S-1_FR,2016-06-20 17:36:04,1,1,TRACE6,434.524,263.153,-22.136,-,16.1560,16.6607,16.8289,16.4775,,44.7620,43.6724,46.2718,45.5142,,46.2295,45.1646,47.6725,46.9855,,47.6891,46.9330,49.4327,48.8345,,,82.1533,81.0913,78.6916,,,80.6598,79.6315,77.2682,,,78.8976,77.8228,75.4698,,0.5914,0.5311,0.4875,0.5133,,0.7295,0.6587,0.6013,0.6310,,4.7294,4.1785,3.7290,3.9494,,2.4687,2.0512,1.8785,1.9477,,2.2608,2.1273,1.8505,2.0017,,4.3231,3.9227,3.5933,3.6483,,,0.6991,0.6758,0.6899,0.6751,,0.8735,0.8443,0.8675,0.8490,,5.8342,5.4639,5.4542,5.4677,,2.8572,2.7255,2.7201,2.7113,,2.9769,2.7384,2.7340,2.7563,,5.6174,5.2296,5.3140,5.1991,46.2256,45.3027,47.8522,47.1744,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_11S-1_FR,2016-06-20 17:36:26,1,1,TRACE7,440.256,260.384,-22.135,-,16.4164,17.0275,16.3260,15.9358,,57.6240,58.9117,57.7790,58.0271,,59.5378,60.8832,59.8307,60.0804,,62.1008,63.9092,62.5338,62.7115,,,91.7039,92.7924,93.5028,,,89.7923,90.7660,91.4450,,,86.9728,87.8943,88.7825,,0.4177,0.4706,0.4878,0.4319,,0.5254,0.5868,0.6095,0.5439,,3.9641,4.3052,4.1862,4.2280,,1.8706,2.3375,2.1009,2.2100,,2.0936,1.9677,2.0853,2.0181,,3.3679,3.7161,3.9023,3.6026,,0.5267,0.5695,0.5082,0.6150,0.4767,0.6643,0.7308,0.6538,0.7602,0.6056,6.3744,6.2843,6.0923,7.1366,5.0293,3.2975,3.2749,2.9081,3.4070,2.6153,3.0768,3.0093,3.1842,3.7296,2.4140,5.2394,5.4481,5.2342,5.2992,4.4846,59.8624,61.4105,60.1564,60.3693,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_11S-1_FR,2016-06-20 17:36:47,1,1,TRACE8,443.921,260.604,-22.135,-,16.0576,17.0096,16.9764,16.1642,,57.1801,57.8760,57.5324,57.9864,,59.3147,60.0461,59.7587,60.1294,,61.9399,63.3720,63.0422,62.8698,,,93.8043,92.3903,93.6394,,,91.6552,90.2106,91.4940,,,88.6410,86.9671,88.5166,,0.4345,0.4068,0.4212,0.5029,,0.5503,0.5136,0.5247,0.6202,,4.1097,3.7887,3.7129,4.3010,,2.0225,1.7993,1.8326,2.2573,,2.0872,1.9894,1.8803,2.0437,,3.7278,3.3958,3.3588,3.8180,,0.5963,0.5296,0.4629,0.5397,0.5516,0.7628,0.6651,0.5925,0.6760,0.7014,6.3463,4.9268,4.5993,5.0666,5.5250,3.4350,2.5596,2.2732,2.4014,2.8760,2.9113,2.3672,2.3261,2.6653,2.6491,5.7989,4.5157,4.2396,4.3973,5.0490,59.5600,60.6240,60.2873,60.4281,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_11S-1_FR,2016-06-20 17:37:09,1,1,TRACE9,377.227,275.823,-22.150,-,16.4182,16.7951,16.8971,16.5699,,33.7807,34.1252,34.3460,32.9734,,34.8941,35.1830,35.4440,34.0840,,36.0062,36.3133,36.5814,35.1945,,,53.1759,53.3370,52.0275,,,52.0946,52.2758,50.8896,,,50.9520,51.1578,49.7643,,0.5589,0.4671,0.4285,0.4161,,0.6821,0.5711,0.5311,0.5131,,4.1041,3.6411,3.5705,3.3115,,1.9575,1.7513,1.7598,1.7048,,2.1465,1.8899,1.8107,1.6067,,3.8172,3.2501,3.2514,2.9483,,0.8323,0.6447,0.6951,0.6436,0.6500,1.0270,0.8151,0.8634,0.8057,0.8170,7.1120,6.1287,6.7710,5.4705,5.4300,3.5715,3.0124,3.4600,2.7314,2.7230,3.5405,3.1163,3.3110,2.7391,2.7069,6.2592,5.1281,5.4063,4.9100,5.1451,34.8935,35.2193,35.4637,34.0839,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_11S-1_FR,2016-06-20 17:37:30,1,1,TRACE10,377.650,272.273,-22.154,-,16.7562,17.0294,16.9012,16.5703,,37.4526,38.0983,37.7566,33.0347,,38.5354,39.1315,38.8124,34.1014,,39.7057,40.2267,39.9466,35.2831,,,63.1042,61.9015,64.4018,,,62.0504,60.8315,63.3551,,,60.9216,59.6977,62.2314,,0.5083,0.4363,0.4848,0.4686,,0.6315,0.5409,0.5997,0.5804,,4.3291,3.6430,4.1622,3.6946,,2.2492,1.8840,2.2832,1.8563,,2.0799,1.7590,1.8790,1.8382,,3.6660,3.2028,3.5703,3.4152,,0.7388,0.6995,0.6724,0.6884,0.7871,0.9261,0.8908,0.8554,0.8735,0.9696,6.3503,5.6953,6.2452,6.1486,7.0102,3.3755,2.7615,3.0838,3.1261,3.6345,2.9749,2.9338,3.1614,3.0226,3.3757,5.5126,5.4667,5.6157,5.7413,5.8453,38.5792,39.1625,38.8516,34.1589,,
