Operator,Recipe Name,Product,Process,Layer,Side,Lot,MeasTime,Obj,Unit,Meas Type,X Pos,Y Pos,Z Pos,Status,T1_Thk(um),T2_Thk(um),T3_Thk(um),T4_Thk(um),T5_Thk(um),T1_TW(um),T2_TW(um),T3_TW(um),T4_TW(um),T5_TW(um),T1_MW(um),T2_MW(um),T3_MW(um),T4_MW(um),T5_MW(um),T1_BW(um),T2_BW(um),T3_BW(um),T4_BW(um),T5_BW(um),S1_TW(um),S2_TW(um),S3_TW(um),S4_TW(um),S5_TW(um),S1_MW(um),S2_MW(um),S3_MW(um),S4_MW(um),S5_MW(um),S1_BW(um),S2_BW(um),S3_BW(um),S4_BW(um),S5_BW(um),T1_Ra(um),T2_Ra(um),T3_Ra(um),T4_Ra(um),T5_Ra(um),T1_Rq(um),T2_Rq(um),T3_Rq(um),T4_Rq(um),T5_Rq(um),T1_Rt(um),T2_Rt(um),T3_Rt(um),T4_Rt(um),T5_Rt(um),T1_Rp(um),T2_Rp(um),T3_Rp(um),T4_Rp(um),T5_Rp(um),T1_Rv(um),T2_Rv(um),T3_Rv(um),T4_Rv(um),T5_Rv(um),T1_Rz(um),T2_Rz(um),T3_Rz(um),T4_Rz(um),T5_Rz(um),S1_Ra(um),S2_Ra(um),S3_Ra(um),S4_Ra(um),S5_Ra(um),S1_Rq(um),S2_Rq(um),S3_Rq(um),S4_Rq(um),S5_Rq(um),S1_Rt(um),S2_Rt(um),S3_Rt(um),S4_Rt(um),S5_Rt(um),S1_Rp(um),S2_Rp(um),S3_Rp(um),S4_Rp(um),S5_Rp(um),S1_Rv(um),S2_Rv(um),S3_Rv(um),S4_Rv(um),S5_Rv(um),S1_Rz(um),S2_Rz(um),S3_Rz(um),S4_Rz(um),S5_Rz(um),T1_MW_Core(um),T2_MW_Core(um),T3_MW_Core(um),T4_MW_Core(um),T5_MW_Core(um),
Oberreiner,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_11S-6_FR,2016-06-20 21:02:12,1,1,TRACE1,410.859,259.989,-22.152,-,16.4751,16.7312,16.8845,16.8823,,30.4527,29.4865,29.1790,30.8666,,31.5122,30.5409,30.1838,31.8645,,32.6145,31.6764,31.2949,32.9642,,,56.7601,59.8802,56.9712,,,55.6964,58.8794,55.9363,,,54.5629,57.7432,54.8421,,0.4287,0.4531,0.4238,0.5044,,0.5391,0.5582,0.5320,0.6301,,3.3680,3.5719,3.6070,3.7916,,1.7619,1.8209,1.8569,1.8974,,1.6061,1.7510,1.7501,1.8942,,3.1551,3.2075,3.0870,3.5033,,0.6607,0.6521,0.6947,0.7440,0.8888,0.8319,0.8197,0.8687,0.9282,1.1168,5.8387,6.3393,5.4510,5.8366,7.1436,2.7567,3.1606,2.6906,2.9095,3.5579,3.0820,3.1787,2.7603,2.9271,3.5857,5.2407,5.4194,5.3124,5.6534,6.6298,31.5336,30.5814,30.2370,31.9154,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_11S-6_FR,2016-06-20 21:02:34,1,1,TRACE2,410.773,256.843,-22.153,-,16.7101,16.7961,16.5533,16.9506,,33.3509,33.8280,33.8788,34.7305,,34.4760,34.9221,34.9595,35.7895,,35.7096,36.1022,36.1227,36.9142,,,67.0650,64.7290,66.6722,,,65.9445,63.6461,65.5663,,,64.6854,62.5244,64.3964,,0.3945,0.3882,0.3929,0.3670,,0.4899,0.4864,0.4850,0.4583,,3.3555,3.6038,3.5037,3.2199,,1.6153,1.7131,1.7079,1.8235,,1.7402,1.8908,1.7958,1.3964,,3.0689,3.0139,3.0176,2.7717,,0.7116,0.6801,0.7056,0.6559,0.9378,0.8955,0.8742,0.8823,0.8261,1.1806,6.0585,6.3075,7.0838,5.9852,8.3194,2.5863,2.9992,3.3925,2.7125,4.0156,3.4722,3.3082,3.6913,3.2728,4.3039,5.4378,5.9031,5.8731,5.4564,7.4621,34.5303,34.9651,35.0007,35.8224,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_11S-6_FR,2016-06-20 21:02:55,1,1,TRACE3,416.823,257.273,-22.153,-,16.9906,16.2223,16.3792,16.9123,,34.0526,34.0766,34.1671,34.2857,,35.2186,35.2379,35.3259,35.4170,,36.6484,36.4470,36.5810,36.7235,,,66.5447,66.2153,66.7644,,,65.3656,65.0165,65.6246,,,64.0299,63.8067,64.3529,,0.3933,0.4114,0.4111,0.3901,,0.4892,0.5072,0.5122,0.4859,,4.1521,3.4933,3.4735,3.5797,,2.1502,1.7568,1.5739,1.5962,,2.0019,1.7365,1.8996,1.9834,,3.1649,3.1553,3.2251,3.0414,,0.6640,0.7015,0.6245,0.6263,0.7609,0.8451,0.8904,0.7938,0.7896,0.9706,6.4184,6.5264,6.5996,6.9835,6.1682,3.3062,2.9857,3.0842,3.4779,2.9354,3.1122,3.5407,3.5154,3.5056,3.2328,5.8280,5.8473,5.6980,5.5156,5.9243,35.3505,35.2618,35.3741,35.5046,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_11S-6_FR,2016-06-20 21:03:17,1,1,TRACE4,420.479,257.498,-22.153,-,16.9463,16.5216,15.9970,16.6877,,35.0849,34.9233,35.1786,34.8762,,36.2039,36.1197,36.3469,36.0272,,37.6429,37.4025,37.4916,37.2607,,,65.4450,63.6755,66.1784,,,64.3155,62.4322,65.0000,,,62.9286,61.2152,63.8352,,0.3943,0.3855,0.4865,0.4545,,0.4903,0.4774,0.6046,0.5644,,3.1098,2.9845,4.2405,3.8849,,1.5321,1.4560,2.1741,1.9257,,1.5777,1.5286,2.0665,1.9592,,2.9240,2.8115,3.6609,3.5145,,0.6669,0.6898,0.6559,0.6442,0.7481,0.8461,0.8627,0.8123,0.8097,0.9337,5.3979,5.3881,5.4449,5.6282,5.9614,2.6865,2.6616,2.6513,2.6885,2.8784,2.7114,2.7265,2.7936,2.9397,3.0831,5.2012,5.2946,5.0623,5.0636,5.5800,36.3639,36.1629,36.3351,36.0685,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_11S-6_FR,2016-06-20 21:03:38,1,1,TRACE5,410.832,247.154,-22.143,-,16.6910,16.9253,16.4465,16.8868,,45.6504,44.4814,45.5235,45.7507,,47.0342,45.9016,46.9579,47.1413,,48.7318,47.8347,48.6698,48.9903,,,80.7048,81.3396,78.9517,,,79.3250,79.9298,77.5627,,,77.5832,78.1470,75.8530,,0.4408,0.4639,0.4888,0.4789,,0.5550,0.5776,0.6147,0.5978,,3.6908,4.2222,4.4818,4.1463,,1.8702,2.0480,2.4297,2.1590,,1.8205,2.1742,2.0521,1.9873,,3.4636,3.5809,4.0748,3.6905,,0.6252,0.7048,0.7531,0.6883,0.6686,0.7783,0.8839,0.9427,0.8612,0.8344,5.0012,6.0617,6.0340,6.4657,6.2563,2.5078,2.7593,2.8363,3.3521,3.1950,2.4933,3.3024,3.1978,3.1136,3.0613,4.6042,5.6061,5.7385,5.5467,5.4053,47.1911,46.1581,47.0967,47.3705,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_11S-6_FR,2016-06-20 21:04:00,1,1,TRACE6,411.198,247.282,-22.143,-,16.2653,16.7716,16.7635,16.0184,,45.0422,44.9865,43.9216,45.0107,,46.4321,46.3545,45.2550,46.3693,,48.1225,48.1246,46.9881,47.9766,,,79.3526,81.2377,82.0886,,,77.9711,79.9496,80.7177,,,76.1817,78.2854,79.0336,,0.5570,0.4711,0.5416,0.5772,,0.6937,0.5812,0.6634,0.7145,,4.5548,3.6242,4.0837,4.3421,,2.1872,1.8922,2.0534,2.1043,,2.3676,1.7320,2.0303,2.2379,,4.1274,3.3984,3.8889,4.0710,,0.7665,0.7546,0.7920,0.7763,0.7530,0.9722,0.9361,0.9876,0.9579,0.9452,6.0415,5.9587,6.4934,6.0147,6.0077,2.9319,2.8935,3.1836,2.9419,2.9527,3.1096,3.0651,3.3098,3.0728,3.0550,5.6775,5.6459,6.1827,5.8526,5.6165,46.5823,46.5556,45.4549,46.4936,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_11S-6_FR,2016-06-20 21:04:21,1,1,TRACE7,416.944,244.544,-22.137,-,17.0508,16.3753,17.1501,17.1601,,58.0481,58.1540,57.0658,58.0907,,60.0078,60.3967,59.2044,60.2108,,62.7550,63.3304,62.4193,63.3433,,,91.6020,93.3109,91.9307,,,89.4396,91.1461,89.8393,,,86.5541,88.2450,86.5865,,0.5010,0.5720,0.5245,0.4836,,0.6165,0.7004,0.6468,0.5943,,4.2829,4.4449,4.4629,4.2921,,2.3708,2.3804,2.2075,2.1275,,1.9121,2.0645,2.2554,2.1647,,3.7398,4.1568,3.9521,3.7001,,0.6375,0.5383,0.5606,0.6238,0.6306,0.8008,0.6912,0.7014,0.7889,0.7851,6.3888,5.5589,5.5892,5.8511,6.0443,2.8381,2.7536,2.7366,2.9085,2.7708,3.5507,2.8053,2.8526,2.9426,3.2736,5.4678,4.9706,4.7764,5.3328,5.2180,60.4015,60.7422,59.7425,60.7170,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_11S-6_FR,2016-06-20 21:04:42,1,1,TRACE8,420.608,244.782,-22.139,-,17.0881,16.2299,16.1742,17.0233,,57.3647,56.8299,56.9726,56.9957,,59.3557,58.8108,58.9710,58.9869,,62.3061,61.4328,61.6051,61.8706,,,94.3940,92.4811,94.7596,,,92.3792,90.4578,92.7860,,,89.6350,87.8599,90.0060,,0.4624,0.4749,0.4708,0.4556,,0.5698,0.5910,0.5866,0.5679,,4.1601,4.4744,4.2417,4.5911,,2.0947,2.4977,2.1447,2.6032,,2.0655,1.9767,2.0970,1.9880,,3.7036,3.7981,3.6621,3.7482,,0.6909,0.5662,0.5308,0.5782,0.5756,0.8747,0.7116,0.6628,0.7244,0.7312,6.5090,5.5800,5.4946,5.7084,6.1409,3.1143,2.8295,2.4189,2.7740,3.1206,3.3946,2.7506,3.0757,2.9344,3.0203,5.7724,4.7195,4.4851,4.7752,5.2958,59.8354,59.1313,59.2888,59.4331,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_11S-6_FR,2016-06-20 21:05:04,1,1,TRACE9,353.841,259.653,-22.156,-,16.8130,16.8364,16.5704,16.8662,,33.1311,31.5573,31.6461,33.5714,,34.3511,32.6903,32.8198,34.7847,,35.7953,33.9803,34.1002,36.2922,,,54.2964,57.7363,54.2922,,,53.1189,56.5768,53.1008,,,51.7714,55.3447,51.6946,,0.4110,0.4692,0.4845,0.4289,,0.5082,0.5688,0.5989,0.5318,,3.5568,3.5693,4.2025,3.5978,,1.7213,1.8524,2.0533,1.6977,,1.8355,1.7169,2.1492,1.9000,,3.0219,3.2010,3.5470,3.1643,,0.8082,0.6954,0.7000,0.7266,0.8833,1.0312,0.8704,0.8911,0.8980,1.1469,7.1021,6.6203,7.0494,6.5669,9.4156,3.0810,3.1122,3.2032,3.1245,4.9354,4.0211,3.5081,3.8462,3.4424,4.4802,6.4928,5.8985,6.0777,5.7765,7.3265,34.4632,32.7688,32.8732,34.9317,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_11S-6_FR,2016-06-20 21:05:25,1,1,TRACE10,354.282,256.105,-22.154,-,16.8205,16.0241,16.6694,17.3608,,37.2556,35.8705,35.3851,30.9956,,38.2959,36.9297,36.3994,32.0365,,39.4534,37.9970,37.5029,33.2048,,,61.8464,65.4104,65.6177,,,60.7835,64.3739,64.5930,,37.7344,59.6871,63.2795,63.4638,,0.4993,0.3936,0.4007,0.4029,,0.6078,0.4924,0.4990,0.5034,,3.7482,3.6105,3.8982,4.2308,,1.8439,1.8833,1.9266,2.3828,,1.9043,1.7273,1.9716,1.8480,,3.4641,3.1596,3.1690,3.1847,,0.6753,0.6752,0.6765,0.7494,0.7520,0.8736,0.8603,0.8591,0.9504,0.9579,6.6174,8.4434,7.7773,7.1998,7.3886,3.3915,4.2123,3.6333,3.0445,3.7553,3.2258,4.2311,4.1439,4.1554,3.6333,5.8682,6.2479,6.0608,6.8516,6.6812,38.3545,36.9338,36.4440,32.1002,,
