Operator,Recipe Name,Product,Process,Layer,Side,Lot,MeasTime,Obj,Unit,Meas Type,X Pos,Y Pos,Z Pos,Status,T1_Thk(um),T2_Thk(um),T3_Thk(um),T4_Thk(um),T5_Thk(um),T1_TW(um),T2_TW(um),T3_TW(um),T4_TW(um),T5_TW(um),T1_MW(um),T2_MW(um),T3_MW(um),T4_MW(um),T5_MW(um),T1_BW(um),T2_BW(um),T3_BW(um),T4_BW(um),T5_BW(um),S1_TW(um),S2_TW(um),S3_TW(um),S4_TW(um),S5_TW(um),S1_MW(um),S2_MW(um),S3_MW(um),S4_MW(um),S5_MW(um),S1_BW(um),S2_BW(um),S3_BW(um),S4_BW(um),S5_BW(um),T1_Ra(um),T2_Ra(um),T3_Ra(um),T4_Ra(um),T5_Ra(um),T1_Rq(um),T2_Rq(um),T3_Rq(um),T4_Rq(um),T5_Rq(um),T1_Rt(um),T2_Rt(um),T3_Rt(um),T4_Rt(um),T5_Rt(um),T1_Rp(um),T2_Rp(um),T3_Rp(um),T4_Rp(um),T5_Rp(um),T1_Rv(um),T2_Rv(um),T3_Rv(um),T4_Rv(um),T5_Rv(um),T1_Rz(um),T2_Rz(um),T3_Rz(um),T4_Rz(um),T5_Rz(um),S1_Ra(um),S2_Ra(um),S3_Ra(um),S4_Ra(um),S5_Ra(um),S1_Rq(um),S2_Rq(um),S3_Rq(um),S4_Rq(um),S5_Rq(um),S1_Rt(um),S2_Rt(um),S3_Rt(um),S4_Rt(um),S5_Rt(um),S1_Rp(um),S2_Rp(um),S3_Rp(um),S4_Rp(um),S5_Rp(um),S1_Rv(um),S2_Rv(um),S3_Rv(um),S4_Rv(um),S5_Rv(um),S1_Rz(um),S2_Rz(um),S3_Rz(um),S4_Rz(um),S5_Rz(um),T1_MW_Core(um),T2_MW_Core(um),T3_MW_Core(um),T4_MW_Core(um),T5_MW_Core(um),
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_3A-1_FR,2016-06-18 02:15:47,1,1,TRACE1,434.258,274.600,-22.147,-,16.3295,16.4634,16.6134,16.5602,,33.6872,33.3024,34.3274,33.0679,,34.9352,34.5561,35.5453,34.2842,,36.7422,36.5220,37.5412,36.0196,,,53.5349,53.4909,52.4100,,,52.2907,52.2665,51.1780,,,50.4061,50.3288,49.1630,,0.3853,0.3548,0.4012,0.3960,,0.4807,0.4407,0.4975,0.4938,,3.4170,2.8145,3.4750,3.4302,,1.6086,1.3612,1.6396,1.5930,,1.8084,1.4533,1.8353,1.8372,,2.9521,2.6111,2.9695,2.9691,,0.6010,0.6830,0.6274,0.7136,0.6755,0.7630,0.8429,0.7859,0.8922,0.8430,5.8514,7.1146,5.8156,6.5220,5.7351,2.8145,3.4911,2.8344,3.2152,2.5486,3.0370,3.6235,2.9811,3.3069,3.1865,5.0440,5.4855,5.0728,5.6202,5.1997,35.2147,34.9122,35.9343,34.5438,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_3A-1_FR,2016-06-18 02:16:09,1,1,TRACE2,434.159,271.454,-22.150,-,16.2459,16.4816,16.3521,16.6453,,39.3433,38.6172,38.6528,38.0368,,40.5114,39.7774,39.8331,39.1932,,41.8903,41.2072,41.2246,40.7068,,,60.8184,62.2996,61.7710,,,59.6580,61.1222,60.5982,,,58.2483,59.7544,59.1097,,0.4227,0.3900,0.4757,0.3789,,0.5224,0.4900,0.5809,0.4727,,3.2251,3.1559,3.6561,3.1266,,1.5806,1.4956,1.7381,1.5487,,1.6445,1.6602,1.9180,1.5779,,3.0184,2.9579,3.3869,2.8935,,0.5924,0.6428,0.7564,0.6393,0.6396,0.7563,0.8006,0.9441,0.8060,0.8181,4.9827,4.9620,6.1439,5.2232,5.7123,2.3906,2.4573,2.9105,2.6004,2.7136,2.5921,2.5047,3.2334,2.6227,2.9987,4.6618,4.8956,5.6646,5.1048,5.1708,40.6168,39.9122,39.9387,39.3718,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_3A-1_FR,2016-06-18 02:16:30,1,1,TRACE3,440.211,271.861,-22.152,-,16.9883,15.9342,16.0596,,,139.7515,37.6538,36.7776,,,140.7810,38.8041,37.9347,,,142.1594,40.0215,39.1789,,,,60.9207,52.4297,62.1693,63.2187,,59.7457,50.5447,61.0378,62.0812,,58.5973,48.5537,59.7637,60.8739,2.4214,0.3871,0.4021,,,3.2897,0.4864,0.4976,,,20.8349,3.6533,3.3811,,,9.7339,1.5857,1.6748,,,11.1010,2.0676,1.7062,,,18.5352,3.0225,3.0608,,,0.6689,0.6169,0.6249,0.6736,0.6316,0.9224,0.7914,0.8893,0.8435,0.7931,9.3691,5.9797,8.2451,5.5930,6.0434,5.1040,3.0324,4.5746,2.7121,2.8339,4.2651,2.9473,3.6706,2.8809,3.2095,8.5226,5.8354,7.0892,5.2357,5.3979,140.9554,38.8376,37.9782,,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_3A-1_FR,2016-06-18 02:16:51,1,1,TRACE4,443.868,272.071,-22.152,-,16.5147,16.8724,16.9402,16.5401,16.4547,35.9966,35.9005,36.8691,36.3216,,37.2061,37.0461,38.0301,37.5253,,38.5771,38.3757,39.3625,38.8715,,,64.2610,64.5844,62.7182,64.5673,,63.0782,63.4041,61.5165,63.4080,,61.7225,62.0245,60.1850,62.1071,0.3961,0.4116,0.4598,0.4490,1.0675,0.4921,0.5085,0.5699,0.5591,1.4910,3.6007,3.4570,3.9037,3.7442,9.7410,1.9054,1.5937,2.0187,1.8291,3.1936,1.6953,1.8633,1.8850,1.9151,6.5474,3.0927,3.1268,3.4477,3.2758,8.0384,0.6205,0.6624,0.6522,0.7097,0.6556,0.7819,0.8296,0.8221,0.8865,0.8297,5.4348,5.4907,5.5427,5.7328,5.4425,2.6812,2.7374,2.5896,2.6629,2.7763,2.7536,2.7533,2.9531,3.0699,2.6662,5.0484,5.1122,5.1830,5.3814,5.2215,37.2869,37.1381,38.1158,37.5965,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_3A-1_FR,2016-06-18 02:17:13,1,1,TRACE5,434.180,261.764,-22.136,-,16.9685,16.3069,16.5453,16.9942,,48.1594,50.1287,49.5035,48.8040,,49.4265,51.4472,50.8173,50.1101,,51.0625,52.9397,52.5353,51.9272,,,76.9689,74.3709,76.8578,,,75.6551,73.0913,75.5355,,,74.0757,71.6086,73.6715,,0.4837,0.4798,0.5087,0.4543,,0.6037,0.6082,0.6287,0.5663,,3.6941,3.7586,3.9780,3.4390,,1.8273,1.8735,1.9922,1.7220,,1.8668,1.8851,1.9858,1.7171,,3.6363,3.7029,3.6941,3.3774,,0.8629,0.6770,0.6827,0.6555,0.6978,1.0906,0.8420,0.8410,0.8224,0.8759,7.1542,5.1597,5.3583,5.3231,5.7452,3.6457,2.5768,2.5954,2.5459,2.8187,3.5086,2.5829,2.7629,2.7772,2.9264,6.4467,4.9653,5.1301,5.1341,5.3214,49.6110,51.5342,51.0194,50.3656,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_3A-1_FR,2016-06-18 02:17:35,1,1,TRACE6,434.547,261.892,-22.138,-,16.7101,16.9781,16.6809,16.6876,,48.5800,47.9407,49.9692,49.2896,,49.8761,49.1993,51.2616,50.6200,,51.3836,50.8001,52.7977,52.2860,,,77.8807,77.0928,74.7398,,,76.6192,75.8096,73.4146,,,75.0066,74.2614,71.8336,,0.4909,0.4340,0.4855,0.4400,,0.6109,0.5441,0.6081,0.5507,,4.3636,4.1608,4.4708,3.7684,,2.2288,2.1752,2.2219,1.8831,,2.1349,1.9855,2.2490,1.8853,,3.9674,3.7452,3.9060,3.5523,,1.8328,0.7168,0.7168,0.6775,0.6881,2.2784,0.8919,0.8945,0.8561,0.8549,12.4180,6.2446,6.9891,6.5021,6.6479,7.4956,2.7125,3.0965,3.0570,3.2593,4.9224,3.5322,3.8926,3.4451,3.3885,10.7589,5.7579,6.0111,5.8909,5.6336,49.9818,49.3704,51.3835,50.7878,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_3A-1_FR,2016-06-18 02:17:56,1,1,TRACE7,440.282,259.131,-22.133,-,16.6594,16.4423,15.5648,16.5737,,62.8617,62.4375,61.3746,62.1689,,64.7350,64.4536,63.4173,63.9994,,67.1362,67.1164,65.7501,66.4313,,,87.1593,89.7061,89.5617,,,85.2260,87.6523,87.6383,,,82.6455,85.1628,85.2738,,0.4097,0.4717,0.4503,0.4133,,0.5126,0.5869,0.5577,0.5163,,3.8503,4.0277,3.7257,3.6554,,1.9126,2.0393,1.8559,1.9157,,1.9377,1.9884,1.8698,1.7397,,3.3274,3.5607,3.4829,3.3105,,0.5250,0.5777,0.5878,0.5022,0.5123,0.6630,0.7309,0.7349,0.6397,0.6504,4.9771,5.4977,5.4255,4.7627,4.9377,2.6832,2.8049,2.7549,2.3151,2.5203,2.2939,2.6928,2.6706,2.4476,2.4174,4.5128,4.9900,4.8838,4.3216,4.5679,64.9989,64.7770,63.5623,64.3001,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_3A-1_FR,2016-06-18 02:18:18,1,1,TRACE8,443.947,259.355,-22.135,-,16.4496,17.0194,16.3923,16.0862,,61.3499,61.8894,61.2061,62.2493,,63.1423,63.7097,62.9946,64.1316,,65.2757,66.3271,65.1440,66.3410,,,89.8687,87.9888,89.7036,,,88.0723,86.1950,87.8508,,,85.5886,83.8603,85.7191,,0.4388,0.4342,0.4715,0.4703,,0.5489,0.5471,0.5880,0.5806,,3.8947,4.3418,3.9916,3.7492,,1.8125,2.0501,1.8807,1.8563,,2.0823,2.2917,2.1109,1.8929,,3.4706,3.7058,3.6306,3.4812,,0.5964,0.5478,0.5249,0.5955,0.4965,0.7615,0.6837,0.6621,0.7396,0.6238,5.6926,4.8724,5.3062,5.1164,4.4138,2.7211,2.2766,2.5916,2.5796,2.2167,2.9715,2.5958,2.7146,2.5368,2.1971,5.2049,4.5755,4.7336,4.8139,4.1599,63.3128,64.1083,63.1751,64.2951,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_3A-1_FR,2016-06-18 02:18:39,1,1,TRACE9,377.238,274.487,-22.149,-,16.2830,16.5008,16.5133,16.4145,,35.2492,35.3848,35.4697,34.6327,,36.4728,36.5487,36.6410,35.8316,,37.9705,38.0194,38.3095,37.3719,,,51.7233,51.9914,50.7381,,,50.5391,50.8264,49.5457,,,49.0887,49.2266,47.9071,,0.4162,0.3712,0.3536,0.3918,,0.5219,0.4618,0.4410,0.4957,,3.8434,3.5254,3.0919,3.6819,,1.9733,1.6876,1.4438,1.7695,,1.8701,1.8377,1.6481,1.9124,,3.2630,2.9223,2.8225,3.1851,,0.6367,0.6757,0.7241,0.8102,0.8029,0.8152,0.8677,0.9371,1.0123,1.0178,6.5325,7.2829,6.7419,6.6639,6.9550,3.0191,2.9811,3.2082,2.7946,3.0526,3.5133,4.3018,3.5337,3.8693,3.9025,5.3819,6.0921,5.9699,6.1841,6.2211,36.6098,36.7021,36.8896,36.0023,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_3A-1_FR,2016-06-18 02:19:00,1,1,TRACE10,377.666,270.938,-22.152,-,16.4371,16.6846,16.7929,16.8263,,38.4772,39.4549,39.3153,36.2345,,39.6710,40.6315,40.4482,37.3434,,41.0427,42.0275,41.8426,38.6327,,,61.7732,60.6030,62.5444,,,60.5930,59.4237,61.4341,,,59.2304,57.9879,60.1176,,0.4764,0.4254,0.5150,0.6519,,0.5879,0.5297,0.6339,0.7671,,3.5726,3.2291,3.7439,4.4275,,1.8324,1.5640,1.7974,2.3651,,1.7402,1.6652,1.9465,2.0624,,3.4340,3.0827,3.5278,3.8621,,0.5991,0.6447,0.7098,0.7793,0.7304,0.7524,0.8089,0.8945,0.9830,0.9180,5.2102,5.5489,5.5494,6.1163,5.9507,2.5417,2.8272,2.7123,3.0633,2.9631,2.6685,2.7216,2.8371,3.0530,2.9876,4.7652,5.1191,5.4302,5.9703,5.6961,39.7599,40.7412,40.5789,37.4336,,
