Operator,Recipe Name,Product,Process,Layer,Side,Lot,MeasTime,Obj,Unit,Meas Type,X Pos,Y Pos,Z Pos,Status,T1_Thk(um),T2_Thk(um),T3_Thk(um),T4_Thk(um),T5_Thk(um),T1_TW(um),T2_TW(um),T3_TW(um),T4_TW(um),T5_TW(um),T1_MW(um),T2_MW(um),T3_MW(um),T4_MW(um),T5_MW(um),T1_BW(um),T2_BW(um),T3_BW(um),T4_BW(um),T5_BW(um),S1_TW(um),S2_TW(um),S3_TW(um),S4_TW(um),S5_TW(um),S1_MW(um),S2_MW(um),S3_MW(um),S4_MW(um),S5_MW(um),S1_BW(um),S2_BW(um),S3_BW(um),S4_BW(um),S5_BW(um),T1_Ra(um),T2_Ra(um),T3_Ra(um),T4_Ra(um),T5_Ra(um),T1_Rq(um),T2_Rq(um),T3_Rq(um),T4_Rq(um),T5_Rq(um),T1_Rt(um),T2_Rt(um),T3_Rt(um),T4_Rt(um),T5_Rt(um),T1_Rp(um),T2_Rp(um),T3_Rp(um),T4_Rp(um),T5_Rp(um),T1_Rv(um),T2_Rv(um),T3_Rv(um),T4_Rv(um),T5_Rv(um),T1_Rz(um),T2_Rz(um),T3_Rz(um),T4_Rz(um),T5_Rz(um),S1_Ra(um),S2_Ra(um),S3_Ra(um),S4_Ra(um),S5_Ra(um),S1_Rq(um),S2_Rq(um),S3_Rq(um),S4_Rq(um),S5_Rq(um),S1_Rt(um),S2_Rt(um),S3_Rt(um),S4_Rt(um),S5_Rt(um),S1_Rp(um),S2_Rp(um),S3_Rp(um),S4_Rp(um),S5_Rp(um),S1_Rv(um),S2_Rv(um),S3_Rv(um),S4_Rv(um),S5_Rv(um),S1_Rz(um),S2_Rz(um),S3_Rz(um),S4_Rz(um),S5_Rz(um),T1_MW_Core(um),T2_MW_Core(um),T3_MW_Core(um),T4_MW_Core(um),T5_MW_Core(um),
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_1A-6_FR,2016-06-18 01:40:23,1,1,TRACE1,411.573,259.942,-22.162,-,16.8744,16.4636,16.4307,17.3116,,34.5306,32.9043,32.3601,34.7487,,35.7636,34.2589,33.6815,36.0044,,37.9796,36.3812,35.6513,38.5302,,,52.7741,55.7644,53.3740,,,51.4700,54.4613,52.0778,,,49.2359,52.7101,49.8255,12.8106,0.4609,0.4726,0.5486,0.4985,,0.5758,0.5968,0.6771,0.6114,,3.8467,4.2194,4.4908,4.2168,,1.9104,2.1076,2.2073,2.0262,,1.9363,2.1118,2.2835,2.1905,,3.4849,3.6554,3.8670,3.4276,,0.8661,0.7383,0.7372,0.6943,0.8680,1.0790,0.9329,0.9288,0.8741,1.1055,7.3283,6.4340,7.6291,6.3901,7.4735,3.5753,2.6363,3.8347,3.2361,3.3383,3.7530,3.7977,3.7944,3.1540,4.1352,6.3445,5.8733,6.0345,5.6023,6.5916,36.2551,34.6427,34.0057,36.6394,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_1A-6_FR,2016-06-18 01:40:45,1,1,TRACE2,411.488,256.796,-22.159,-,16.6446,17.1041,17.1912,16.4181,,37.6190,37.7183,37.4377,37.3989,,38.8054,38.9244,38.5790,38.5731,,40.3041,40.6940,40.3497,40.0852,,,63.5884,61.1021,62.9584,,,62.3973,59.9191,61.7981,,,60.7539,58.0803,60.2036,,0.4392,0.4465,0.4244,0.4203,,0.5460,0.5577,0.5339,0.5174,,3.5549,3.3798,3.8450,3.1525,,1.7387,1.7077,2.0502,1.5994,,1.8163,1.6721,1.7948,1.5531,,3.2507,3.2877,3.1909,2.9918,,0.6437,0.7129,0.7414,0.7613,0.7259,0.8049,0.8987,0.9186,0.9613,0.9152,5.1551,6.0908,5.7383,6.3185,6.2240,2.5762,3.0415,2.8207,3.1121,2.7790,2.5790,3.0493,2.9176,3.2064,3.4450,4.8288,5.6010,5.5500,5.8852,5.6624,38.9616,39.2061,38.8937,38.7421,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_1A-6_FR,2016-06-18 01:41:06,1,1,TRACE3,417.538,257.230,-22.159,-,16.7603,16.2582,16.8190,16.9075,,38.8965,38.7092,38.4282,38.2948,,40.1446,40.0443,39.7341,39.5558,,42.0810,41.7107,41.6899,41.5502,,,61.7245,62.1153,62.3500,,,60.4391,60.7718,61.0682,,,58.8487,59.0122,59.0503,,0.4210,0.4907,0.4525,0.4152,,0.5264,0.6047,0.5581,0.5167,,3.8069,3.9872,4.1565,3.8405,,1.9684,1.9734,2.0509,1.6127,,1.8385,2.0138,2.1056,2.2277,,3.2963,3.5531,3.4747,3.3061,,0.6191,0.6507,0.6940,0.7183,0.7573,0.7717,0.8139,0.8784,0.9167,0.9612,5.4175,6.2276,7.5334,6.5640,6.1688,2.7947,2.9246,3.7366,2.9938,2.8707,2.6228,3.3030,3.7968,3.5702,3.2981,4.9185,5.3791,5.9976,5.9788,5.8111,40.4888,40.2100,40.0591,39.9225,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_1A-6_FR,2016-06-18 01:41:28,1,1,TRACE4,421.194,257.457,-22.160,-,16.9853,16.3076,16.1147,16.8126,,38.2999,38.2819,38.5199,38.6975,,39.5356,39.5933,39.8505,39.9655,,41.4525,41.5191,41.6004,41.9351,,,62.1003,60.7199,62.0154,,,60.8406,59.3771,60.7056,,,58.9471,57.6080,58.9093,,0.4682,0.4557,0.4892,0.4481,,0.5791,0.5565,0.6033,0.5574,,3.8838,4.2757,4.0655,3.9944,,1.8346,2.1262,1.8807,1.9451,,2.0491,2.1495,2.1848,2.0493,,3.2811,3.3886,3.5633,3.5138,,0.6675,0.6376,0.6906,0.7346,0.6549,0.8513,0.8059,0.8767,0.9078,0.8231,6.8511,6.5635,6.5458,6.5777,6.4807,3.1912,3.0521,3.1785,2.9240,3.0370,3.6599,3.5114,3.3673,3.6537,3.4437,5.6850,5.7951,5.8624,5.8612,5.4481,39.8762,39.9005,40.0601,40.3163,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_1A-6_FR,2016-06-18 01:41:50,1,1,TRACE5,411.553,247.108,-22.152,-,16.1344,16.8140,16.8755,16.2520,,48.3830,47.2619,48.2494,47.7997,,49.8107,48.4946,49.5736,49.0799,,51.2784,50.0963,51.1692,50.5665,,,77.8162,78.1799,76.4670,,,76.4562,76.8768,75.2380,,,74.7655,75.2774,73.7661,,0.4713,0.4744,0.5059,0.5356,,0.5900,0.5897,0.6245,0.6603,,4.1378,3.9227,4.2965,4.5289,,2.2764,2.0972,2.3714,2.4824,,1.8614,1.8255,1.9251,2.0465,,3.8733,3.6590,3.9093,4.0224,,0.8758,0.6675,0.7081,0.6711,0.7185,1.1171,0.8450,0.9051,0.8418,0.9056,7.5937,6.1944,6.6794,5.7978,5.9025,3.9809,3.0685,3.2916,2.6588,2.9439,3.6128,3.1260,3.3878,3.1390,2.9585,6.8482,5.5611,6.4867,5.3891,5.3183,49.8307,48.6791,49.7093,49.1831,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_1A-6_FR,2016-06-18 01:42:11,1,1,TRACE6,411.919,247.236,-22.152,-,16.2281,16.8070,17.0877,16.6592,,47.7366,48.5266,47.6584,48.1300,,49.0968,49.9395,48.9358,49.4478,,50.6265,51.6983,50.6919,51.1340,,,76.4305,77.3664,78.8926,,,75.1040,75.9771,77.5831,,,73.4735,74.1452,75.8331,,0.4582,0.4732,0.4579,0.4515,,0.5695,0.5943,0.5690,0.5688,,3.5754,3.9480,3.7297,3.7009,,1.8347,1.9264,1.8246,1.8477,,1.7407,2.0216,1.9051,1.8532,,3.4460,3.6827,3.5102,3.4737,,1.0330,0.6892,0.6592,0.6387,0.8178,1.2864,0.8659,0.8264,0.8050,1.0219,8.8963,5.7633,5.8991,5.2803,6.5048,4.7549,2.6982,2.9967,2.5574,3.1529,4.1414,3.0651,2.9023,2.7229,3.3519,7.7184,5.3144,5.3658,5.0658,6.0592,49.1815,50.1125,49.1751,49.6320,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_1A-6_FR,2016-06-18 01:42:33,1,1,TRACE7,417.666,244.502,-22.147,-,16.7387,16.1806,16.8112,16.5423,,61.6277,61.5009,61.6291,62.3267,,63.4345,63.4627,63.5307,64.2286,,65.7549,65.8274,66.0894,66.7115,,,88.6271,89.3887,87.1955,,,86.7496,87.4651,85.2551,,,84.5688,84.9904,82.6559,,0.5138,0.5150,0.4825,0.4448,,0.6441,0.6438,0.6022,0.5536,,5.2940,4.8865,4.1125,4.0031,,2.8716,2.5103,2.0782,2.0496,,2.4224,2.3762,2.0343,1.9536,,4.2137,4.1956,3.9040,3.5461,,0.6068,0.6093,0.5921,0.4987,0.5652,0.7774,0.7689,0.7392,0.6389,0.7186,7.0869,7.2320,7.4709,5.8132,7.3630,3.6265,3.2555,3.4847,2.5464,3.8211,3.4605,3.9765,3.9861,3.2668,3.5419,5.3617,5.4486,5.6848,4.9556,5.6940,63.6913,63.6642,63.8593,64.5191,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_1A-6_FR,2016-06-18 01:42:54,1,1,TRACE8,421.329,244.742,-22.147,-,17.0885,16.4198,16.7920,17.1804,,61.1246,60.8603,61.6687,61.4467,,62.9403,62.8740,63.6153,63.2673,,65.4507,65.1288,66.1029,65.7214,,,90.4658,87.9967,90.5033,,,88.5369,86.0342,88.6144,,,86.1366,83.7381,86.1176,,0.5203,0.6294,0.6269,0.5138,,0.6399,0.7635,0.7649,0.6346,,4.3530,4.8114,4.8279,4.4884,,2.2721,2.2071,2.3528,2.1400,,2.0810,2.6043,2.4751,2.3484,,3.9929,4.4157,4.4881,4.0693,,0.7073,0.6495,0.6386,0.6009,0.6295,0.8618,0.8141,0.7907,0.7506,0.7951,5.5571,5.8453,6.5086,6.4689,6.7654,2.7252,2.9776,3.6051,3.4546,3.7413,2.8318,2.8677,2.9035,3.0143,3.0241,5.2326,5.3289,5.6535,5.4077,6.0176,63.2877,62.9945,63.8858,63.5841,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_1A-6_FR,2016-06-18 01:43:16,1,1,TRACE9,354.561,259.574,-22.163,-,16.5741,15.9075,16.0997,16.6473,,33.9502,32.3118,31.7889,34.4641,,35.0774,33.4946,32.9453,35.5906,,36.6588,34.9514,34.3719,37.2265,,,53.4782,56.4264,53.5802,,,52.3268,55.2646,52.4455,,,50.8305,53.9018,50.9821,,0.4117,0.4188,0.4405,0.4174,,0.5161,0.5262,0.5511,0.5156,,3.8245,3.8769,4.0824,3.7773,,1.9832,2.0327,1.8034,1.7938,,1.8413,1.8442,2.2789,1.9835,,3.2535,3.1911,3.2745,3.1269,,0.6828,0.7797,0.6225,0.6948,0.7276,0.8521,0.9683,0.7714,0.8728,0.9158,6.0547,7.1484,5.2902,5.9586,6.4761,2.7707,3.3063,2.4213,2.9801,3.1205,3.2840,3.8421,2.8689,2.9785,3.3556,5.2616,6.0112,4.7857,5.4095,5.5614,35.3045,33.6316,33.0804,35.8453,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_1A-6_FR,2016-06-18 01:43:37,1,1,TRACE10,355.004,256.027,-22.162,-,16.4422,16.6111,16.7646,16.7387,,38.2327,36.7544,36.4593,32.9387,,39.4167,37.9068,37.5879,34.0454,,40.8172,39.3562,38.9423,35.3666,,,61.2785,64.6280,64.2325,,,60.1128,63.4778,63.1029,,,58.7035,62.0828,61.7162,,0.4304,0.4278,0.3713,0.4054,,0.5390,0.5364,0.4635,0.4946,,3.5670,3.7180,3.5537,3.0436,,1.8328,1.8190,1.5888,1.4333,,1.7341,1.8990,1.9648,1.6103,,3.2598,3.3112,2.8651,2.7937,,0.6574,0.6829,0.7185,0.8002,0.8242,0.8389,0.8679,0.9301,1.0023,1.0115,6.5308,7.0159,7.7799,6.7537,7.4214,2.6595,3.3051,3.8758,3.2584,3.7478,3.8713,3.7109,3.9041,3.4953,3.6735,5.4548,5.8429,7.4335,6.2759,6.4925,39.5250,38.0553,37.7008,34.1527,,
